manager,season,gw,gw_points
damy,2023,20,65
damy,2023,21,35
damy,2023,22,34
damy,2023,23,47
damy,2023,24,73
damy,2023,25,81
damy,2023,26,42
damy,2023,27,76
damy,2023,28,47
damy,2023,29,7
damy,2023,30,29
damy,2023,31,14
damy,2023,32,50
damy,2023,33,42
damy,2023,34,56
damy,2023,35,42
damy,2023,36,70
damy,2023,37,61
damy,2023,38,29
devan,2023,1,35
devan,2023,2,50
devan,2023,3,45
devan,2023,4,73
devan,2023,5,46
devan,2023,6,58
devan,2023,7,69
devan,2023,8,39
devan,2023,9,53
devan,2023,10,79
devan,2023,11,11
devan,2023,12,64
devan,2023,13,54
devan,2023,14,68
devan,2023,15,36
devan,2023,16,26
devan,2023,17,56
devan,2023,18,34
devan,2023,19,30
devan,2023,20,38
devan,2023,21,41
devan,2023,22,41
devan,2023,23,50
devan,2023,24,67
devan,2023,25,94
devan,2023,26,41
devan,2023,27,62
devan,2023,28,35
devan,2023,29,6
devan,2023,30,27
devan,2023,31,35
devan,2023,32,59
devan,2023,33,41
devan,2023,34,51
devan,2023,35,33
devan,2023,36,62
devan,2023,37,65
devan,2023,38,37
flemming,2023,1,63
flemming,2023,2,45
flemming,2023,3,40
flemming,2023,4,83
flemming,2023,5,45
flemming,2023,6,46
flemming,2023,7,25
flemming,2023,8,57
flemming,2023,9,78
flemming,2023,10,73
flemming,2023,11,30
flemming,2023,12,95
flemming,2023,13,62
flemming,2023,14,70
flemming,2023,15,39
flemming,2023,16,67
flemming,2023,17,56
flemming,2023,18,56
flemming,2023,19,54
flemming,2023,20,86
flemming,2023,21,82
flemming,2023,22,58
flemming,2023,23,55
flemming,2023,24,53
flemming,2023,25,51
flemming,2023,26,68
flemming,2023,27,93
flemming,2023,28,51
flemming,2023,29,11
flemming,2023,30,48
flemming,2023,31,51
flemming,2023,32,55
flemming,2023,33,46
flemming,2023,34,98
flemming,2023,35,59
flemming,2023,36,65
flemming,2023,37,74
flemming,2023,38,93
iain,2023,1,79
iain,2023,2,47
iain,2023,3,55
iain,2023,4,54
iain,2023,5,29
iain,2023,6,71
iain,2023,7,48
iain,2023,8,50
iain,2023,9,92
iain,2023,10,87
iain,2023,11,26
iain,2023,12,58
iain,2023,13,39
iain,2023,14,46
iain,2023,15,36
iain,2023,16,41
iain,2023,17,28
iain,2023,18,57
iain,2023,19,39
iain,2023,20,64
iain,2023,21,40
iain,2023,22,65
iain,2023,23,57
iain,2023,24,63
iain,2023,25,81
iain,2023,26,32
iain,2023,27,54
iain,2023,28,61
iain,2023,29,15
iain,2023,30,58
iain,2023,31,29
iain,2023,32,44
iain,2023,33,30
iain,2023,34,117
iain,2023,35,70
iain,2023,36,67
iain,2023,37,52
iain,2023,38,48
jamie,2023,1,77
jamie,2023,2,31
jamie,2023,3,49
jamie,2023,4,86
jamie,2023,5,44
jamie,2023,6,90
jamie,2023,7,64
jamie,2023,8,55
jamie,2023,9,70
jamie,2023,10,76
jamie,2023,11,33
jamie,2023,12,71
jamie,2023,13,29
jamie,2023,14,69
jamie,2023,15,34
jamie,2023,16,86
jamie,2023,17,35
jamie,2023,18,39
jamie,2023,19,31
